mean_deflection,max_deflection,vibration_std,vibration_max,deflection_rate,label,risk_score
22.842,22.98,0.005,0.988,-0.01,SAFE,0.23136666666666666
24.191,49.96,0.005,0.988,26.99,WARNING,0.6810333333333334
24.192,49.96,0.005,0.988,0.0,WARNING,0.5011
24.191,49.96,0.005,0.988,-0.01,WARNING,0.5011666666666666
24.191,49.96,0.005,0.988,0.01,WARNING,0.5011666666666666
24.191,49.96,0.005,0.988,0.0,WARNING,0.5011
24.192,49.96,0.005,0.988,0.0,WARNING,0.5011
24.146,49.96,0.005,0.988,0.0,WARNING,0.5011
24.192,49.96,0.005,0.988,0.0,WARNING,0.5011
24.191,49.96,0.005,0.988,0.0,WARNING,0.5011
24.191,49.96,0.006,0.988,0.89,WARNING,0.5073333333333333
24.236,49.96,0.006,0.988,-0.01,WARNING,0.5014666666666666
24.236,49.96,0.006,0.988,0.0,WARNING,0.5014
24.236,49.96,0.006,0.988,0.01,WARNING,0.5014666666666666
24.236,49.96,0.006,0.988,0.0,WARNING,0.5014
24.236,49.96,0.006,0.988,0.0,WARNING,0.5014
24.236,49.96,0.006,0.988,0.9,WARNING,0.5074
24.281,49.96,0.006,0.988,0.0,WARNING,0.5014
24.281,49.96,0.006,0.988,-0.01,WARNING,0.5014666666666666
24.234,49.96,0.006,0.988,-0.92,WARNING,0.5075333333333333
24.19,49.96,0.006,0.988,-27.88,WARNING,0.6872666666666667
22.841,22.98,0.006,0.988,0.0,SAFE,0.2316
22.841,22.98,0.005,0.988,0.01,SAFE,0.23136666666666666
22.841,22.98,0.005,0.988,0.0,SAFE,0.2313
22.841,22.98,0.005,0.988,0.0,SAFE,0.2313
22.841,22.98,0.006,0.988,-0.01,SAFE,0.23166666666666666
22.796,22.98,0.006,0.988,0.0,SAFE,0.2316
22.84,22.98,0.006,0.988,-0.01,SAFE,0.23166666666666666
22.839,22.98,0.006,0.988,0.0,SAFE,0.2316
22.84,22.98,0.006,0.988,0.0,SAFE,0.2316
22.84,22.98,0.005,0.988,0.01,SAFE,0.23136666666666666
22.84,22.98,0.005,0.988,-0.01,SAFE,0.23136666666666666
22.84,22.98,0.005,0.988,-0.01,SAFE,0.23136666666666666
22.84,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,-0.01,SAFE,0.23136666666666666
22.839,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,0.92,SAFE,0.23743333333333333
22.885,22.98,0.005,0.988,0.89,SAFE,0.23723333333333335
22.93,22.98,0.005,0.988,0.0,SAFE,0.2313
22.929,22.98,0.004,0.988,-0.01,SAFE,0.23106666666666667
