mean_deflection,max_deflection,vibration_std,vibration_max,deflection_rate,label,risk_score
22.842,22.98,0.005,0.988,-0.01,SAFE,0.2313666666666666
24.191,49.96,0.005,0.988,26.99,WARNING,0.6810333333333334
24.192,49.96,0.005,0.988,0.0,WARNING,0.5011
24.191,49.96,0.005,0.988,-0.01,WARNING,0.5011666666666666
24.191,49.96,0.005,0.988,0.01,WARNING,0.5011666666666666
24.191,49.96,0.005,0.988,0.0,WARNING,0.5011
24.192,49.96,0.005,0.988,0.0,WARNING,0.5011
24.146,49.96,0.005,0.988,0.0,WARNING,0.5011
24.192,49.96,0.005,0.988,0.0,WARNING,0.5011
24.191,49.96,0.005,0.988,0.0,WARNING,0.5011
24.191,49.96,0.006,0.988,0.89,WARNING,0.5073333333333333
24.236,49.96,0.006,0.988,-0.01,WARNING,0.5014666666666666
24.236,49.96,0.006,0.988,0.0,WARNING,0.5014
24.236,49.96,0.006,0.988,0.01,WARNING,0.5014666666666666
24.236,49.96,0.006,0.988,0.0,WARNING,0.5014
24.236,49.96,0.006,0.988,0.0,WARNING,0.5014
24.236,49.96,0.006,0.988,0.9,WARNING,0.5074
24.281,49.96,0.006,0.988,0.0,WARNING,0.5014
24.281,49.96,0.006,0.988,-0.01,WARNING,0.5014666666666666
24.234,49.96,0.006,0.988,-0.92,WARNING,0.5075333333333333
24.19,49.96,0.006,0.988,-27.88,WARNING,0.6872666666666667
22.841,22.98,0.006,0.988,0.0,SAFE,0.2316
22.841,22.98,0.005,0.988,0.01,SAFE,0.2313666666666666
22.841,22.98,0.005,0.988,0.0,SAFE,0.2313
22.841,22.98,0.005,0.988,0.0,SAFE,0.2313
22.841,22.98,0.006,0.988,-0.01,SAFE,0.2316666666666666
22.796,22.98,0.006,0.988,0.0,SAFE,0.2316
22.84,22.98,0.006,0.988,-0.01,SAFE,0.2316666666666666
22.839,22.98,0.006,0.988,0.0,SAFE,0.2316
22.84,22.98,0.006,0.988,0.0,SAFE,0.2316
22.84,22.98,0.005,0.988,0.01,SAFE,0.2313666666666666
22.84,22.98,0.005,0.988,-0.01,SAFE,0.2313666666666666
22.84,22.98,0.005,0.988,-0.01,SAFE,0.2313666666666666
22.84,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,-0.01,SAFE,0.2313666666666666
22.839,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,0.0,SAFE,0.2313
22.839,22.98,0.005,0.988,0.92,SAFE,0.2374333333333333
22.885,22.98,0.005,0.988,0.89,SAFE,0.2372333333333333
22.93,22.98,0.005,0.988,0.0,SAFE,0.2313
22.929,22.98,0.004,0.988,-0.01,SAFE,0.2310666666666666
22.929,22.98,0.004,0.988,-0.01,SAFE,0.2310666666666666
22.928,22.98,0.004,0.988,0.0,SAFE,0.231
22.929,22.98,0.004,0.988,0.01,SAFE,0.2310666666666666
22.934,22.98,0.005,0.988,0.0,SAFE,0.2313
22.934,22.98,0.005,0.988,0.01,SAFE,0.2313666666666666
22.934,22.98,0.005,0.988,0.0,SAFE,0.2313
22.934,22.98,0.006,0.988,0.0,SAFE,0.2316
22.934,22.98,0.006,0.988,0.0,SAFE,0.2316
22.889,22.98,0.006,0.988,-0.89,SAFE,0.2375333333333333
22.89,22.98,0.006,0.988,0.0,SAFE,0.2316
22.89,22.98,0.006,0.988,0.0,SAFE,0.2316
22.89,22.98,0.006,0.988,0.0,SAFE,0.2316
22.889,22.98,0.006,0.988,-0.01,SAFE,0.2316666666666666
22.889,22.98,0.006,0.988,-0.01,SAFE,0.2316666666666666
22.889,22.98,0.006,0.988,0.0,SAFE,0.2316
22.844,22.98,0.006,0.988,-0.9,SAFE,0.2376
22.843,22.98,0.006,0.988,-0.01,SAFE,0.2316666666666666
22.843,22.98,0.006,0.988,0.0,SAFE,0.2316
22.842,22.98,0.006,0.988,0.89,SAFE,0.2375333333333333
22.888,22.98,0.006,0.988,0.0,SAFE,0.2316
22.888,22.98,0.006,0.988,0.0,SAFE,0.2316
22.888,22.98,0.006,0.988,0.0,SAFE,0.2316
22.888,22.98,0.006,0.988,0.0,SAFE,0.2316
22.885,22.98,0.005,0.988,-0.06,SAFE,0.2317
22.884,22.98,0.005,0.988,-0.01,SAFE,0.2313666666666666
22.884,22.98,0.005,0.988,0.01,SAFE,0.2313666666666666
22.885,22.98,0.005,0.988,0.0,SAFE,0.2313
22.885,22.98,0.005,0.988,0.9,SAFE,0.2373
22.93,22.98,0.005,0.988,0.0,SAFE,0.2313
22.885,22.98,0.005,0.988,-0.9,SAFE,0.2373
22.884,22.98,0.005,0.988,-0.01,SAFE,0.2313666666666666
22.884,22.98,0.004,0.985,0.01,SAFE,0.2310666666666666
22.839,22.98,0.004,0.985,-0.89,SAFE,0.2369333333333333
22.795,22.98,0.004,0.985,-0.9,SAFE,0.237
22.794,22.98,0.004,0.985,0.89,SAFE,0.2369333333333333
22.839,22.98,0.004,0.985,0.0,SAFE,0.231
22.839,22.98,0.004,0.985,-0.01,SAFE,0.2310666666666666
22.839,22.98,0.004,0.985,0.01,SAFE,0.2310666666666666
22.839,22.98,0.004,0.985,-0.01,SAFE,0.2310666666666666
22.839,22.98,0.004,0.985,0.0,SAFE,0.231
22.794,22.98,0.004,0.985,-0.9,SAFE,0.237
22.794,22.98,0.257,2.155,0.0,SAFE,0.3069
22.749,22.98,0.263,2.155,-0.84,SAFE,0.3142999999999999
22.752,22.98,0.263,2.155,0.0,SAFE,0.3087
22.643,22.98,0.264,2.155,-2.19,SAFE,0.3236
22.533,22.98,0.27,2.155,-2.19,SAFE,0.3254
21.562,22.98,0.27,2.155,-19.43,WARNING,0.4403333333333333
22.813,48.01,0.296,2.155,25.03,DANGER,0.7357666666666667
24.034,48.01,0.297,2.155,25.32,DANGER,0.738
23.172,48.01,0.297,2.155,-18.14,WARNING,0.6901333333333333
22.232,48.01,0.296,2.155,-18.8,WARNING,0.6942333333333333
23.544,49.22,0.296,2.155,27.14,DANGER,0.7619333333333334
24.901,49.22,0.299,2.155,27.14,DANGER,0.7628333333333334
26.278,49.62,0.298,2.155,26.65,DANGER,0.7632666666666666
27.61,49.62,0.297,2.155,26.65,DANGER,0.7629666666666666
28.943,49.62,0.298,2.155,26.65,DANGER,0.7632666666666666
30.275,49.62,0.297,2.155,26.63,DANGER,0.7628333333333333
31.624,49.96,0.297,2.155,26.99,DANGER,0.7686333333333333
32.974,49.98,0.297,2.155,27.0,DANGER,0.7689
34.306,49.98,0.297,2.155,27.54,DANGER,0.7725
35.684,49.98,0.297,2.155,26.64,DANGER,0.7665
37.015,49.98,0.175,1.622,27.54,DANGER,0.7359
38.392,49.98,0.164,1.622,26.65,DANGER,0.7266666666666666
39.726,49.98,0.165,1.622,28.85,DANGER,0.7416333333333334
41.184,49.98,0.165,1.622,29.17,DANGER,0.7437666666666667
42.626,49.98,0.154,1.622,46.07,DANGER,0.746
44.93,49.98,0.154,1.622,1.61,WARNING,0.5567333333333333
45.009,49.98,0.072,1.257,2.21,WARNING,0.5361333333333334
45.138,49.98,0.05,1.144,45.13,DANGER,0.7147999999999999
47.377,49.98,0.054,1.144,45.43,DANGER,0.716
47.378,49.98,0.054,1.144,-45.02,DANGER,0.716
47.288,49.98,0.054,1.144,-1.79,WARNING,0.5279333333333334
47.198,49.98,0.051,1.144,-2.21,WARNING,0.5298333333333334
47.086,49.98,0.051,1.144,-2.22,WARNING,0.5299
46.976,49.98,0.036,1.109,-2.22,WARNING,0.5254
46.865,49.98,0.036,1.109,-2.2,WARNING,0.5252666666666667
46.754,49.98,0.037,1.109,-2.56,WARNING,0.5279666666666666
46.626,49.98,0.115,1.48,-2.58,WARNING,0.5515
46.488,49.96,0.145,1.48,-2.41,WARNING,0.5591666666666667
46.347,49.96,0.159,1.48,-2.82,WARNING,0.5661
46.206,49.96,0.159,1.48,-2.82,WARNING,0.5661
46.065,49.96,0.159,1.48,-2.82,WARNING,0.5661
45.924,49.96,0.159,1.48,-2.84,WARNING,0.5662333333333334
45.802,49.96,0.158,1.48,-2.75,WARNING,0.5653333333333332
45.665,49.96,0.162,1.48,-2.41,WARNING,0.5642666666666667
45.524,49.96,0.162,1.48,-2.82,WARNING,0.5670000000000001
45.383,49.96,0.161,1.48,-2.81,WARNING,0.5666333333333333
45.343,49.96,0.161,1.48,-1.15,WARNING,0.5555666666666667
45.325,49.61,0.161,1.48,0.0,WARNING,0.5444
43.133,49.61,0.157,1.48,1.56,WARNING,0.5536
45.412,49.78,0.181,1.493,2.35,WARNING,0.5677666666666668
45.53,49.78,0.18,1.493,2.37,WARNING,0.5676000000000001
45.648,49.78,0.18,1.493,2.38,WARNING,0.5676666666666668
45.767,49.78,0.177,1.493,2.38,WARNING,0.5667666666666668
45.807,49.78,0.207,1.623,0.8,WARNING,0.5652333333333334
45.867,49.78,0.204,1.623,1.2,WARNING,0.5670000000000001
45.928,49.78,0.204,1.623,1.22,WARNING,0.5671333333333334
45.989,49.78,0.195,1.623,1.41,WARNING,0.5657
46.06,49.78,0.185,1.623,1.82,WARNING,0.5654333333333333
46.129,49.78,0.18,1.623,1.39,WARNING,0.5610666666666667
46.198,49.78,0.181,1.623,1.39,WARNING,0.5613666666666667
